Systemdate,Applewood.InfoHighDump.signal_level,Applewood.InfoHighDump.latency_max_ms,Applewood.InfoHighDump.latency_packet_loss_count,Applewood.InfoHighDump.lte_state,Applewood.InfoHighDump.rssi,Applewood.InfoHighDump.rsrq,Applewood.InfoHighDump.rsrp,Applewood.InfoHighDump.rx_channel,Applewood.InfoHighDump.tx_channel,Applewood.InfoHighDump.band
2026-01-30T02:20:51,30,45,0,4,-53,-14,-82,66961,131697,eutran-66
2026-01-30T02:21:06,30,45,0,4,-53,-9,-80,66961,131697,eutran-66
2026-01-30T02:21:21,31,45,0,4,-51,-11,-81,66961,131697,eutran-66
2026-01-30T02:21:36,30,45,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T02:21:51,29,45,0,4,-54,-13,-82,66961,131697,eutran-66
2026-01-30T02:22:06,31,45,0,4,-52,-12,-81,66961,131697,eutran-66
2026-01-30T02:22:21,31,45,0,4,-50,-14,-82,66961,131697,eutran-66
2026-01-30T02:22:36,29,45,0,4,-54,-11,-82,66961,131697,eutran-66
2026-01-30T02:22:51,31,45,0,4,-51,-12,-81,66961,131697,eutran-66
2026-01-30T02:23:06,29,45,0,4,-54,-11,-81,66961,131697,eutran-66
2026-01-30T02:23:18,29,45,0,4,-54,-11,-81,66961,131697,eutran-66
2026-01-30T02:23:33,31,45,0,4,-50,-14,-81,66961,131697,eutran-66
2026-01-30T02:23:51,31,45,0,4,-50,-12,-80,66961,131697,eutran-66
2026-01-30T02:24:06,31,45,0,4,-49,-15,-82,66961,131697,eutran-66
2026-01-30T02:24:21,31,45,0,4,-51,-11,-81,66961,131697,eutran-66
2026-01-30T02:24:36,31,45,0,4,-48,-15,-82,66961,131697,eutran-66
